name,address,directions_site,could_scrape,has_cycling,has_directions
Time Fitness,"Suite C2, City Park, 368 Alexandra Parade, Glasgow, United Kingdom",http://www.timefitness.co.uk/glasgow-gym,true,false,false
PureGym Glasgow,"140 Bath St, Glasgow, United Kingdom",http://www.reactivetraining.co.uk/,true,false,false
David Lloyd Glasgow West End,"242 Netherton Rd, Glasgow, United Kingdom",http://www.davidlloyd.co.uk/GlasgowWestEnd,true,false,false
Western Baths,"12 Cranworth St, Glasgow, United Kingdom",http://www.thewesternbaths.co.uk/,true,false,false
The Gym Glasgow,"167-201 Argyle Street, Second Floor Unit 9, Glasgow, United Kingdom",http://www.puregym.com/gyms/glasgow,true,false,false
Nuffield Health Fitness & Wellbeing Centre,"141 Finnieston St, Glasgow, United Kingdom",http://www.nuffieldhealth.com/Free-Pass,true,false,false
Menzies Glasgow Hotel,"27 Washington St, Glasgow, United Kingdom",http://www.booking.com/,true,false,false
The Griphouse,"Top Floor, 10 Possil Rd, Glasgow, United Kingdom",http://www.thegriphouse.co.uk/,true,false,false
The Arlington Baths Club,"61 Arlington St, Glasgow, United Kingdom",http://www.yelp.co.uk/biz/arlington-baths-club-glasgow,false,,
Radisson Blu Hotel Glasgow,"301 Argyle St, Glasgow, United Kingdom",http://www.radissonblu.co.uk/,true,false,false
University of Glasgow,"Stevenson Bldg, 77 Oakfield Ave, Glasgow, United Kingdom",http://www.gla.ac.uk/about/maps/howtogethere/,true,false,false
Sir Chris Hoy Velodrome,"1000 London Rd, Glasgow, United Kingdom",http://maps.google.co.uk,false,,
Thistle™ Glasgow hotel,"Cambridge St, Glasgow, United Kingdom",http://www.thistle.com/Spring-Promotion,false,,
LA fitness Glasgow - Milngavie,"112 Main St, Milngavie, Glasgow, United Kingdom",http://www.lafitness.co.uk/gym/glasgow-milngavie/,true,false,false
Mercure Glasgow City Hotel,"201 Ingram St, Glasgow, United Kingdom",http://www.mercure.com/Glasgow-hotels,true,false,false
Eden Fit Health Studio,"8 Elmbank Gardens, Glasgow, United Kingdom",http://www.edenfithealth.co.uk/,true,false,false
Rogano,"11 Exchange Pl, Glasgow, United Kingdom",http://www.roganoglasgow.com/,true,false,false
Vodka Wodka,"31 Ashton Ln, Glasgow, United Kingdom",http://www.yell.com/biz/vodka-wodka-ltd-glasgow-2969311/,true,false,false
Merchant Square,"71 Albion St, Glasgow, United Kingdom",http://www.merchantsquareglasgow.com/maps-and-directions,true,false,true
Old Glasgow Pubs,"Gallowgate, Glasgow, United Kingdom",http://www.glasgowguide.co.uk/pubs.html,true,false,false
Blackfriars Bar,"36 Bell St, Glasgow, United Kingdom",http://www.blackfriarsglasgow.com/,true,false,false
Hummingbird,"186 Bath St, Glasgow, United Kingdom",http://www.hummingbirdglasgow.co.uk/,true,false,false
Bar 91,"91 Candleriggs, Glasgow, United Kingdom",http://www.bar91.co.uk/,true,false,false
The Scotia Bar,"112 Stockwell St, Glasgow, United Kingdom",http://www.tripadvisor.co.uk/Attraction_Review-g186534-d3732810-Reviews-The_Scotia_Bar-Glasgow_Scotland.html,true,false,true
One Up,"23, Royal Exchange Square, Glasgow, United Kingdom",http://maps.google.co.uk,false,,
The Corinthian Club,"191 Ingram St, City Centre, Glasgow, United Kingdom",http://www.thecorinthianclub.co.uk/,true,false,false
Missoula,"110-114 W George St, City Centre, Glasgow, United Kingdom",http://www.missoulabars.co.uk/missoulaglasgow/find-us/,true,false,false
The Inn,"2 Station Rd, Bearsden, Glasgow, United Kingdom",http://www.jurysinns.com/hotels/glasgow/map,true,false,true
Booly Mardy's,"28 Vinicombe St, Glasgow, United Kingdom",http://www.tripadvisor.co.uk/Restaurant_Review-g186534-d2316350-Reviews-Booly_Mardy_s-Glasgow_Scotland.html,true,false,false
Kings Tuts Wah Wah Hut,"272a St Vincent St, Glasgow, United Kingdom",http://www.kingtuts.co.uk/,true,false,false
The Arches,"253 Argyle St, Glasgow, United Kingdom",http://www.thearches.co.uk/find-us,true,false,true
Bar Soba,"116-122 Byres Rd, Glasgow, United Kingdom",http://www.barsoba.co.uk/,true,false,false
Oran Mor,"Byres Rd, Glasgow, United Kingdom",http://www.skiddle.com/whats-on/Glasgow/ORAN-MOR/nearby.html,true,false,false
Moskito,"200 Bath St, Glasgow, United Kingdom",http://www.moskitoglasgow.com/,true,false,false
BrewDog Glasgow,"1397-1403 Argyle St, Glasgow, United Kingdom",http://food.list.co.uk/place/30697-brewdog-glasgow/,true,false,false
Tron Theatre,"63 Trongate, Glasgow, United Kingdom",http://www.tron.co.uk/,true,false,false
City of Glasgow College,"60 N Hanover St, Glasgow, United Kingdom",http://www.cityofglasgowcollege.ac.uk/about-us/find-us,true,false,true
North Glasgow College,"123 Flemington St, Glasgow, United Kingdom",http://www.northglasgowcollege.ac.uk/index.php/.../contact__finding_ngc,false,,
Stow College,"43 Shamrock St, Glasgow, United Kingdom",http://www.stow.ac.uk/contact/,true,false,false
Langside College,"Langside Campus, 50 Prospecthill Rd, Glasgow, United Kingdom",http://www.glasgowclyde.ac.uk/,true,false,false
International Christian College,"110 St James Rd, Glasgow, United Kingdom",http://www.yell.com/biz/international-christian-college-glasgow-2318392/,true,false,false
St Aloysius College,"45 Hill St, Glasgow, United Kingdom",http://www.staloysius.org/,true,false,false
SIA GLASGOW,"West George College, 2/1, 534 Saucheihall Street, Glasgow, United Kingdom",http://www.sia.homeoffice.gov.uk/Pages/contact-us.aspx,true,false,false
The Royal College Of Physicians & Surgeons Of Glasgow,"232-242 St Vincent St, Glasgow, United Kingdom",http://www.rcplondon.ac.uk/visit-us,true,false,true
Glasgow Clyde College,"Cardonald Campus, 690 Mosspark Dr, Glasgow, United Kingdom",http://www.glasgowclyde.ac.uk/contact-us/getting-to-the-college,true,false,true
Glasgow International College,"56 Dumbarton Rd, Glasgow, United Kingdom",http://www.kic.org.uk/glasgow/about/college-location/,true,false,false
SAE Institute Glasgow,"Kinning Park, 85-87 Portman St, Glasgow, United Kingdom",http://https://glasgow.sae.edu/en-gb/content/88/how_to_find_us,false,,
University of Strathclyde,"16 Richmond St, Glasgow, United Kingdom",http://www.strath.ac.uk/visiting/gettingtostrathclyde/,true,false,false
Kelvin Books,"Unit 57 Chapel St, Glasgow, United Kingdom",http://www.yell.com/biz/kelvin-books-glasgow-7013627/,true,false,false
The National Piping Centre,"30-34 McPhater St, Glasgow, United Kingdom",http://www.thepipingcentre.co.uk/about/,true,true,true
The Glasgow School of Art,"167 Renfrew St, Glasgow, United Kingdom",http://www.gsa.ac.uk/media/163027/GSA_Campus%2520Map.pdf,false,,
Queen Margaret Union,"Queen Margaret Union, 22 University Gardens, Glasgow, United Kingdom",http://www.qmunion.org.uk/,true,false,false
CHM Scotland,"4 Craigpark, Glasgow, United Kingdom",http://www.chmscotland.co.uk/website-design-courses-glasgow,true,false,false
College Apartment,"161 High St, Glasgow, United Kingdom",http://www.laterooms.com/...directions/200272_college-apartments-glasgow.aspx,false,,
Jordanhill School,"45 Chamberlain Rd, Glasgow, United Kingdom",http://www.jordanhill.glasgow.sch.uk/,true,false,false
Glasgow Steiner School,"52 Lumsden St, Glasgow, United Kingdom",http://www.glasgowarchitecture.co.uk/glasgow-steiner-school,true,false,true
University of Glasgow,"Glasgow, United Kingdom",http://www.gla.ac.uk/about/maps/howtogethere/,true,false,false
University of Glasgow,"Garscube Estate, Maryhill Road, Glasgow, United Kingdom",http://www.gla.ac.uk/about/maps/howtogethere/,true,false,false
University Of Glasgow Veterinary School,"Cochno Farm, Cochno Road, Clydebank, Glasgow, United Kingdom",http://www.gla.ac.uk/schools/vet/aboutus/howtofindus/,true,false,false
University Chapel,"Chapel Corridor (South), West Quadrangle, Main Building Gilmorehill Campus, University of Glasgow, Glasgow, United Kingdom",http://www.gla.ac.uk/media/media_1887_en.pdf,true,false,false
Mitchell Library,"North St, Glasgow, United Kingdom",http://www.glasgowlife.org.uk/libraries/your...library/...mitchell/getting-here,false,,
University of Glasgow Library,"Hillhead Street, Glasgow, United Kingdom",http://www.gla.ac.uk/media/media_1887_en.pdf,true,false,false
Royal Faculty of Procurators in Glasgow,"12 Nelson Mandela Place, Glasgow, United Kingdom",http://www.yell.com/biz/royal-faculty-of-procurators-glasgow-883545/,true,false,false
Royston Library,"67 Royston Rd, Glasgow, United Kingdom",http://www.glasgowlife.org.uk/libraries/...library/royston-library/.../home.aspx,false,,
Gallery of Modern Art,"Royal Exchange Square, Glasgow, United Kingdom",http://www.glasgowlife.org.uk/museums/goma,true,false,false
Westerton Library,"82 Maxwell Ave, Bearsden, Glasgow, United Kingdom",http://www.yell.com/biz/westerton-library-glasgow-4031269/,true,false,false
Riddrie Library & Learning Centre,"1020 Cumbernauld Rd, Glasgow, United Kingdom",http://www.glasgowlife.org.uk/libraries/your-local-library/riddrie-library,true,false,false
Cathkin Library,"21 Lovat Pl, Glasgow, Rutherglen, United Kingdom",http://en.parkopedia.co.uk/parking/near/cathkin-library/,true,false,true
William Patrick Library,"2-4 W High St, Glasgow, United Kingdom",http://www.yell.com/biz/william-patrick-library-glasgow-6966473/,true,false,false
Langside Library,"2 Sinclair Dr, Glasgow, United Kingdom",http://www.glasgowlife.org.uk/libraries/your-local-library/langside-library,true,false,false
Kings Park Diner Cafe & Takeaway,"283 Castlemilk Rd, Glasgow, United Kingdom",http://www.yell.com/biz/kingspark-cafe-diner-glasgow-646238/,true,false,false
The Library Apartment Glasgow,"48 Miller St, Glasgow, United Kingdom",http://www.homeaway.co.uk/p417084,true,false,true
Ibrox Library & Learning Centre,"1 Midlock St, Glasgow, United Kingdom",http://www.glasgowlife.org.uk/libraries/...library/ibrox-library/getting.../default.aspx,false,,
Cambuslang Library,"Cambuslang Library/Main St, Glasgow, United Kingdom",http://www.typography.me.uk/company-cambuslang-library-in-glasgow-40955,true,false,false
Giffnock Library,"Giffnock Library/Station Rd, Station Rd, Giffnock, Glasgow, United Kingdom",http://www.yelp.co.uk/biz/giffnock-library-glasgow,false,,
Hillhead Library,"348 Byres Rd, Glasgow, United Kingdom",http://www.glasgowlife.org.uk/libraries/...library/hillhead-library/.../home.aspx,false,,
Dennistoun Library & Learning Centre,"2 Craigpark, Glasgow, United Kingdom",http://www.glasgowlife.org.uk/libraries/...library/dennistoun-library/getting.../default.aspx,false,,
Leisure & Lifestyle at the Mitchell,"Mitchell Library, North St, Glasgow, United Kingdom",http://www.leisuredirection.co.uk/,true,false,false
Milton Library & Learning Centre,"204 Liddesdale Rd, Glasgow, United Kingdom",http://www.yell.com/biz/milton-keynes-library-milton-keynes-2099933/,true,false,false
Scottish Screen Archive,"39 Montrose Ave, Glasgow, United Kingdom",http://ssa.nls.uk/01.06,true,false,true
The Glasgow Clinic,"234 W George St, Glasgow, United Kingdom",http://www.theglasgowclinic.co.uk/surgery.html,true,false,false
Gay Mens Sexual Health,"Sandyford Pl,, 2-6 Sauchiehall St, Glasgow, United Kingdom",http://www.sandyford.org/,true,false,true
Family Planning & Sexual Health Directorate,"2-6, Sandyford Place, Sauchiehall St, United Kingdom",http://https://www.nhs.uk/.../MapsAndDirections/DefaultView.aspx?id...,false,,
The Buckingham Clinic,"24 Buckingham Terrace, Glasgow, United Kingdom",http://www.yell.com/biz/buckingham-clinic-glasgow-7259022/,true,false,false
The Harvest Clinic,"201 St George's Rd, Glasgow, United Kingdom",http://www.yell.com/biz/harvest-clinic-glasgow-532003/,true,false,false
Hui Chun Clinic,"325 Great Western Rd, Glasgow, United Kingdom",http://www.yell.com/biz/hui-chun-clinic-of-tcn-glasgow-2421505/,true,false,false
Beatson Oncology Centre,"1053 Great Western Rd, Glasgow, United Kingdom",http://www.beatsoncancercharity.org/,true,false,true
The Berkeley Dental Clinic,"5 Newton Terrace, Glasgow, United Kingdom",http://www.yelp.co.uk/biz/the-berkeley-clinic-glasgow,false,,
Visage Lifestyle Clinic,"61 Miller St, Glasgow, United Kingdom",http://www.yell.com/biz/visage-glasgow-4189379/,true,false,false
City Foot Clinic Limited,"Rothesay House, 134 Douglas St, Glasgow, United Kingdom",http://www.footsolutions.co.uk/glasgow,true,false,false
Woodland Herbs Natural Healthcare Shop and Clinic,"100 Woodlands Rd, Glasgow, United Kingdom",http://www.woodlandherbs.co.uk/,true,false,false
La Belle Forme,"26 Wilson St, Glasgow, United Kingdom",http://www.yell.com/biz/la-belle-forme-glasgow-6069156/,true,false,false
Glasgow Smile Clinic,"950 Argyle St, Glasgow, United Kingdom",http://www.yell.com/biz/glasgow-smile-clinic-glasgow-725909/,true,false,false
Ultrasound Direct Glasgow - Babybond®,"14 Park Circus, Glasgow, United Kingdom",http://www.ultrasound-direct.com/Glasgow,false,,
Renfield Street Dental Care,"12 Renfield St, Glasgow, United Kingdom",http://painfreeglasgowcosmeticdentist.co.uk/,true,false,false
4D 3D Baby Scanning Glasgow,"Ingram House, 227 Ingram St, Glasgow, United Kingdom",http://www.babyscanning.co.uk/,true,false,true
Govanhill Health Centre,"233 Calder St, Glasgow, United Kingdom",http://www.yell.com/biz/govanhill-health-centre-glasgow-903201/,true,false,false
Woodside Health Centre,"Barr St, Glasgow, United Kingdom",http://www.yell.com/biz/woodside-dental-practice-glasgow-532560/,true,false,false
Glasgow Aesthetics Clinic,"5 Park Gate, Glasgow, United Kingdom",http://www.thepeppermintgroup.co.uk/FacialAst.,false,,
Dermasoft Parkside Private Clinic,"1407 Pollokshaws Rd, Glasgow, United Kingdom",http://www.yelp.co.uk/biz/dermasoft-parkside-private-clinic-glasgow,false,,
Southern General Hospital,"1345 Govan Rd, Glasgow, United Kingdom",http://library.nhsggc.org.uk/.../226933%2520SGH%2520directions%2520leaflet.pdf,false,,
Nuffield Health Glasgow Hospital,"25 Beaconsfield Road, Glasgow, United Kingdom",http://www.nuffieldhealth.com/Hospitals,true,false,false
Glasgow Royal Infirmary,"84 Castle St, Glasgow, United Kingdom",http://www.nhsggc.org.uk/CONTENT/default.asp?page=s762&loc_id...,true,false,false
Glasgow Dental Hospital,"378 Sauchiehall St, City Centre, Glasgow, United Kingdom",http://painfreeglasgowcosmeticdentist.co.uk/,true,false,false
Stobhill Hospital,"133 Balornock Rd, Glasgow, United Kingdom",http://www.nhsggc.org.uk/content/default.asp?page=s1283,true,true,false
BMI Ross Hall Hospital,"221 Crookston Rd, Glasgow, City of Glasgow, United Kingdom",http://www.yell.com/biz/bmi-ross-hall-hospital-glasgow-667909/,true,false,false
Nuffield Health Glasgow Hospital (Nuffield House),"1000 Great Western Rd, Glasgow, United Kingdom",http://www.nuffieldhealth.com/Hospitals,true,false,false
Gartnavel General Hospital,"1053 Great Western Rd, Glasgow, United Kingdom",http://www.nhsggc.org.uk/content/default.asp?page=s762&loc_id=11,false,,
Hairmyres Hospital,"Eaglesham Rd, East Kilbride, United Kingdom",http://www.nhslanarkshire.org.uk/Hospitals/Hairmyres/.../default.aspx,false,,
The Priory Hospital Glasgow,"38-40 Mansionhouse Rd, Glasgow, United Kingdom",http://www.priorygroup.com/Addiction,false,,
Yorkhill Childrens Hospital,"Dalnair St, Yorkhill, Glasgow, United Kingdom",http://www.nhsggc.org.uk/content/default.asp?page=s762&loc_id=24,false,,
Govanhill Health Centre,"233 Calder St, Glasgow, United Kingdom",http://www.yell.com/biz/govanhill-health-centre-glasgow-903201/,true,false,false
Hui Chun Clinic,"325 Great Western Rd, Glasgow, United Kingdom",http://www.yell.com/biz/hui-chun-clinic-of-tcn-glasgow-2421505/,true,false,false
BUPA,"8th Floor, 9 George Square, Glasgow, United Kingdom",http://www.bupa-quote.com/,false,,
The Hospital Group,"Ingram House, 227 Ingram St, Glasgow, United Kingdom",http://www.thehospitalgroup.org/glasgow-clinic/,true,false,false
4D 3D Baby Scanning Glasgow,"Ingram House, 227 Ingram St, Glasgow, United Kingdom",http://www.babyscanning.co.uk/,true,false,true
Hospital Broadcasting Service,"Baltic Chambers, 50 Wellington St, Glasgow, United Kingdom",http://www.yell.com/biz/hospital-broadcasting-service-glasgow-552498/,true,false,false
Leverndale Hospital,"510 Crookston Rd, Glasgow, United Kingdom",http://www.nhsggc.org.uk/content/default.asp?page=s762&loc_id...,true,false,false
Dermalis,"87 Barrington Dr, Glasgow, United Kingdom",http://www.yelp.co.uk/biz/dermalis-glasgow,false,,
Mount Florida Medical Centre,"183 Prospecthill Rd, Glasgow, United Kingdom",http://www.yell.com/biz/mount-florida-medical-centre-glasgow-731037/,true,false,false
Cineworld Cinemas - Glasgow Renfrew Street,"7 Renfrew St, Glasgow, United Kingdom",http://www.cineworld.co.uk/cinemas/glasgow-renfrew-street,true,false,false
Showcase Cinema,"Scotland, Barrbridge Leisure Centre, Bailleston, Glasgow, United Kingdom",http://www.showcasecinemas.co.uk/glasgow,false,,
Grosvenor Cafe,"24 Ashton Ln, Glasgow, United Kingdom",http://www.grosvenorcinema.co.uk/,true,false,false
Glasgow Film Theatre,"12 Rose St, Glasgow, United Kingdom",http://www.glasgowfilm.org/theatre/information/getting_here,true,true,false
Grosvenor Cinema,"24 Ashton Ln, Glasgow, United Kingdom",http://www.yell.com/biz/grosvenor-cinema-glasgow-3576996/,true,false,false
Cineworld Cinemas - Glasgow Parkhead,"Forge Shopping Centre, 1221 Gallowgate, Glasgow, United Kingdom",http://www.cineworld.co.uk/cinemas/glasgow-parkhead,true,false,false
ODEON Cinema Glasgow Quay,"Springfield Quay, Paisley Rd, Glasgow, United Kingdom",http://www.odeon.co.uk/cinemas/glasgow_quay/120/,true,false,true
Odeon Cinema East Kilbride,"Olympia Shopping Centre, Rothesay St, East Kilbride, United Kingdom",http://www.odeon.co.uk/cinemas/east_kilbride/33/,true,false,true
Glasgow Science Centre,"50 Pacific Quay, Glasgow, United Kingdom",http://www.glasgowsciencecentre.org/how-to-find-us.html,true,false,true
Elite Audio Visual Ltd,"16 Durban Ave, East Kilbride, Glasgow, United Kingdom",http://uk.linkedin.com/pub/russell-o-hara/14/913/427,true,false,false
Miau Espresso & Sandwich Bar,"302 Duke St, Glasgow, United Kingdom",http://https://foursquare.com/.../miau-espresso.../4bc06baaabf495216e31bf93,false,,
Loud & Clear (Scotland) Ltd,"520 St Vincent St, Glasgow, United Kingdom",http://www.dailymail.co.uk/.../One-Directions-Louis-Tomlinson-going-deaf-loud-screams-fans.html,true,true,true
Glasgow Audio,"135 Great Western Rd, Glasgow, United Kingdom",http://www.skiddle.com/whats-on/Glasgow/Audio/nearby.html,true,false,false
Martin Watson AV,"46 Brendon Ave, East Kilbride, United Kingdom",http://www.yell.com/biz/martin-watson-av-glasgow-7363944/,true,false,false
Smarthome Design,"18 Ferguston Rd, Bearsden, Glasgow, United Kingdom",http://www.pcworld.co.uk/Connected-Technology,false,,
G1 Group,"70 Hamilton Dr, Glasgow, United Kingdom",http://www.g1group.co.uk/,true,false,false
Cineworld IMAX,"50 Pacific Quay, Glasgow, United Kingdom",http://www.glasgowsciencecentre.org/imax/welcome-to-the-glasgow-imax-cinema.html,true,false,false
Vue Cinemas,"Junction 10 M8, Glasgow Fort Shopping Park, Glasgow, United Kingdom",http://www.myvue.com/cinemas/cinema/glasgow-fort,true,false,false
National Amusements Showcase Cinema,"Barrbridge Rd, Coatbridge, Glasgow, United Kingdom",http://www.showcasecinemas.co.uk/glasgow,false,,
IMAX Glasgow,"50 Pacific Quay, Glasgow, United Kingdom",http://www.glasgowsciencecentre.org/how-to-find-us.html,true,false,true
Penilee Community Centre,"10 Gleddoch Rd, Glasgow, United Kingdom",http://www.yell.com/biz/penilee-community-centre-glasgow-5964790/,true,false,false
Community Central Hall - CCH,"304 Maryhill Rd, Glasgow, United Kingdom",http://centralhall.org/index.php?id=112,true,false,true
The Whiteinch Centre,"1 Northinch St, Glasgow, United Kingdom",http://www.whiteinchcentre.org.uk/contactus/,true,false,false
Possilpoint Community Centre,"130 Denmark St, Glasgow, United Kingdom",http://www.yell.com/biz/possilpoint-community-centre-glasgow-690075/,true,false,false
Garnethill Centre,"28 Rose St, Glasgow, United Kingdom",http://www.garnethillcentre.org.uk/,true,false,false
Knightswood Community Council,"201 Alderman Rd, Glasgow, United Kingdom",http://www.communitycouncilsglasgow.org.uk/knightswood/,true,false,false
Kinning Park Complex,"40 Cornwall St, Glasgow, United Kingdom",http://www.kinningparkcomplex.org/,true,false,false
Renfield St Stephens,"260 Bath Street, Glasgow, United Kingdom",http://www.rsscentre.org.uk/,true,false,false
The Annex Healthy Living Centre,"9 Stewartville St, Glasgow, United Kingdom",http://www.annexecommunities.org.uk/,true,false,true
Maryhill Burgh Halls,"24 Gairbraid Ave, Glasgow, United Kingdom",http://www.maryhillburghhalls.org.uk/location/,true,false,true
